28, I , 186363           , 134002740    ,NULL,12319244,NULL,NULL,NULL, WESTROW ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RD , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186370           , 134002743    ,NULL,12319218,NULL,NULL,NULL, GRINDELAY UPPER ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RD , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 03.05.2013 ,NULL, 03.05.2013 , 03.05.2013 
28, I , 186377           , 134002745    ,NULL,12319230,NULL,NULL,NULL, MYRE ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RD , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186384           , 134002746    ,NULL,12319229,NULL,NULL,NULL, MUSSAQUOY ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RD , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186391           , 134002748    ,NULL,12319213,NULL,NULL, EASTAQUOY , HOUTON ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RD , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186398           , 134002749    ,NULL,12319239,NULL,NULL,NULL, SEAVIEW ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RD , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186405           , 134002750    ,NULL,12319227,NULL,NULL,NULL, TANMAUR ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RD , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 186412           , 134002752    ,NULL,12319241,NULL,NULL,NULL, SUNNYBRAE ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RD , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
28, I , 10098            , 100012789406 ,NULL,22150920, ECOLAB ,NULL,NULL,NULL,NULL,NULL, DUKE AVENUE ,NULL, STANLEY GREEN TRADING ESTATE , CHEADLE , SK8 6RB  , L ,NULL,NULL,NULL,NULL,NULL,NULL, 24.03.2014 , 04.04.2014 , 04.04.2014 , 04.04.2014 , 04.04.2014 
28, I , 186419           , 134002753    ,NULL,12319210,NULL,NULL,NULL, CHATMOR LODGE ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RD , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 23.03.2013 ,NULL, 23.03.2013 , 23.03.2013 
28, I , 186426           , 134002759    ,NULL,12319215,NULL,NULL,NULL, FEA ,NULL,NULL,NULL,NULL, ORPHIR , ORKNEY , KW17 2RD , S ,NULL,NULL,NULL,NULL,NULL,NULL, 20.01.2014 , 30.10.2006 ,NULL, 26.08.2009 , 30.10.2006 
